city,lon,lat
Treben,12.4509833,51.0522949
Gr.Görschen,11.8905444475,51.1138015
Joachimsthal,13.7453282,52.9770643
Wermsdorf,12.9389605,51.2800216
Lucka,12.3353,51.0951
Falkenau,13.1135325858,50.8558137
Mittweida,12.9810458,50.9854597
Oberwiesenthal,12.970962,50.419377
Hohnstein,14.1111221,50.9797836
Hartenstein,12.6712469,50.6618358
Merseburg,11.996148,51.3564413
Meissen,13.4704939,51.1630871
Leisnig,12.9265979,51.16005
Beelitz,12.9700041,52.2363582
Kl.-Wiederitzsch,12.3607104,51.3898827
Apolda,11.5129742,51.0227878
Reichersdorf,13.090487,48.7482297
Pretzsch,11.9463007,51.0939256
Markersdorf,12.861184,50.9177351
Lauterbach,9.4,50.6333
Burgliebenau,12.0420786,51.3917812
Rumburg,7.6595913,49.057449
Rudolstadt,11.3401985,50.7206063
Gosserau,12.0636359,51.1376862
Meineweh,11.9883345,51.0760857
Radegast,11.0489403,53.7987547
Zeisig,12.9716467,50.980431
Lausigk,12.0846481,51.7570214
Frankenberg,13.0846822437,50.9187702
Königsbrück,13.9028337,51.2637467
Wörlitz,12.4199023,51.8414537
Netzschkau,12.2479711,50.6132276
Kahla,11.5877025,50.8025663
Glashütte,13.7833046,50.8499967
Bach,12.0973726,51.3191158
Schmölen,12.7217784,51.3484673
Knautnaundorf,12.2702125,51.254259
Strehla,13.221527,51.352236
Schleiz,11.80891,50.5774374
Aue,12.6993046,50.5860269
Fichtelberg,12.9540657,50.4282781
Lützschena,12.2807401,51.3832549
(Oschatz),13.1082637,51.297984
Waldheim,13.0157798,51.0770643
Köstritz,12.0093697,50.9315498
Sommerfeld,12.489673,51.3476629
Scheibenberg,12.9144207,50.5404022
Schwarzenberg,14.1063024,51.2142072
Köthen,11.932331907,51.73570305
Eilenburg,12.6334496,51.4598924
Klausa,12.5127279,50.9579257
Dippoldiswalde,13.6676788566,50.8936642
Zörbig,12.1175042,51.6291126
Langenberg,7.1204025,51.3517803
Tharandt,13.5794907,50.9853391
Schkeuditz,12.2216292,51.3963509
Seerhausen,13.2546065,51.2666603
Bautzen,14.4270706662,51.1840794
Jena,11.5879359,50.9281717
Bayreuth,11.5763079,49.9427202
Steinigtwolmsdorf,14.3469407,51.0664505
Pressnitz,13.1482541,50.5574976
Kühren,10.2599977,54.198856
Lauenstein,11.3695598,50.5106428
Bruckdorf,12.0278767,51.4445824
Hainichen,13.1229747,50.9725862
Eger,12.0521721,50.1238036
Dresden,13.7381437,51.0493286
Zeulenroda,11.979914,50.6498043
Threna,12.5409553,51.2565406
Greiz,12.2008694,50.6562556
Schildau,12.9516230247,51.45288105
Schlettau,12.9502234,50.5575902
Paunsdorf,12.4685167,51.3523669
Hänichen,12.2667679,51.3847059
Belgern,13.1218176667,51.46453995
Platten,6.9546213,49.9520594
Gröbern,12.443988992,51.68908195
Chemnitztal,12.9213969,50.8613797
Gröbers,12.1175529,51.4299776
Rudelsburg,11.7065960458,51.10902515
Bitterfeld,12.3301466,51.6239124
Groitzsch,12.2833,51.15
Kamenz,14.1255878334,51.2825652
Delitzsch,12.342857,51.5255661
Elterlein,12.8688973,50.5769435
Wechselburg,12.7733471,51.0048471
Lohmen,13.998086,50.9886263
Marienberg,13.163188,50.6507279
Warnsdorf,11.8334054,50.8349595
Münsa,12.4748949,50.984337
Schellenberg,13.0994217,50.812939
Nossen,13.2980726,51.0565934
Lobstädt,12.45,51.1333
Rochlitz,12.7990531,51.0456789
Nürnberg,11.113510798,49.3655143
Eythra,12.3045853,51.2287676
Zorbau,12.0290273243,51.1909798
Reichenberg,7.7604879,50.1572065
Laucha,11.7727217,51.3813737
Mügeln,13.0202669,51.234581
Hohenstein-Ernstthal,12.7069527,50.800473
Katharinenberg,10.2626693,51.1819798
Droyssig,12.0278521,51.0425417
Einsiedel,12.9677420848,50.7715559
Dürrenberg,12.0112794,50.9186444
Frohburg,12.5576743,51.0567105
Mühlberg,13.9234322,51.3017002
Borna,12.4999055,51.1241649
Steckelberg,10.5865871,53.2417446
Pulsnitz,14.0119295,51.184218
Luppa,12.9996682,51.3308927
Brandis,12.6089036,51.3346604
Zschopau,13.0695613,50.7469606
Mutzschen,12.8883805068,51.26085635
Freyburg,11.7696956,51.2126192
Brösen,12.8879749,51.151186
Hohnstädt,12.7309709,51.2508981
Bad Elster,12.236949,50.2811665
Freiberg,13.3428889,50.9169415
Ruhla,10.3668167,50.8920471
Falkenstein,7.8740598,49.6079336
Zwenkau,12.324152,51.2182735
Wulfen,11.9315783,51.8192779
Eisenberg,11.8565115943,50.9686464
Riesengebirge,12.2074851,49.0756246
Milbitz,11.1361414081,50.69279245
Waldenburg,12.6003812,50.8743975
Klingenthal,12.4678923,50.3581046
Schneeberg,12.6417008,50.5950694
Rossbach,7.4001737,51.523706
Gräfenhainichen,12.4588675,51.7309112
Pausa,11.994486,50.5806183
Halle,8.2886278,51.4387667
Dux,9.0550116,51.9486857
Pegnitz,11.540944,49.75649
Eutritzsch,12.3873287,51.3707642
Lengenfeld,12.3651413,50.5693956
Lommatzsch,13.3111561,51.1952586
Reichenbach,12.298936,50.6200076
Pillnitz,13.8713801,51.0126628
Meila,13.2186068,51.1592509
Schafstädt,11.7608344621,51.38783355
Meuselwitz,12.2975,51.0475
Spreewald,13.8905462,52.0286713
Reitzenhain,7.7839659,50.1550472
Borsdorf,12.540308,51.3472715
Gera,12.0796208,50.8772301
Bad Lausick,12.6415822,51.144234
Naumburg,11.8099186,51.1525648
Potsdam,13.0591397,52.4009309
Zschorna,12.8053739,51.3897098
Kreuz,11.8458468,47.9841928
Grossenstein,12.1961536,50.9003361
Peterswald,7.2873916,50.0063744
Hoyerswerda,14.215645156,51.4243429
Zwickau,12.4939267,50.7185043
Otterwisch,12.6082843,51.2040008
(Schleiz),11.80891,50.5774374
Schmiedefeld,11.2167,50.5333
Lichtenstein,12.6291790215,50.7493384
Serbitz,12.246556,51.556191
Pegau,12.255453,51.1667169
Zehren,13.4044411,51.1990779
Günthersdorf,12.1784243685,51.3386983
Cöthen,13.9355243,52.793057
Weimar,11.3290855,50.9802813
Ebersbach,10.6460792,51.6906492
Wahren,12.3190929,51.3760739
Bischofswerda,14.1795516,51.1277815
Osterfeld,11.9305596,51.0806259
Berggiesshübel,13.9480113,50.8737844
Löbau,14.6692423,51.0947288
Colditz,12.8065842,51.1295496
Zeitz,12.1349991,51.0491637
Brüx,11.0633212,50.345507
Webau,12.0772636,51.1740129
Gößnitz,12.4259573554,50.87004565
Brand,6.1723287524,50.75392865
Geringswalde,12.9048523,51.0760493
Neustadt,8.1360914,49.3536748
Mylau,12.2694996189,50.61694425
Bobbau,12.2575540788,51.69266205
Okrilla,13.8319181,51.1843726
Priessnitz,11.7751229588,51.09283175
Kirchberg,7.4078567,49.9434166
Weissenberg,14.658726,51.1968328
(Weißenfels),11.9667857,51.1999793
Ammendorf,11.9848754,51.4270233
Ballendorf,10.0789077,48.5548852
Burgstädt,12.8056576,50.9199844
Schmölln,12.3520022,50.8971549
Crossen,12.9227478,51.0348497
Hohenossig,12.418329,51.4454553
Rückmarsdorf,12.2552906,51.3438709
Torgau,13.0046538,51.5581272
Stollberg,10.4274333,49.8758973
Hermsdorf,13.6475678228,50.7581322
Hohburger Schweiz,12.8032952985,51.4100464
Seidenberg,12.5584775,50.5277896
Komotau,11.0363646,49.5967084
Auma,11.9931375,50.7575588
Olbernhau,13.345242,50.6564031
Schilderhain,12.9301967,51.4456448
Lengefeld,13.1927938,50.7192961
Grana,12.09443282,51.0492828
Gollmenz,12.4769543,51.5083198
Quesitz,12.2060789,51.2905371
Herrnhut,14.7160457824,51.00064095
Zschaschelwitz,12.4555986,51.0276147
Berlin,13.3888599,52.5170365
Radefeld,12.2986506,51.4233617
Kupferberg,11.5767744,50.1391688
Venusberg,7.0993079,50.7016885
Bernstadt,10.0246274,48.4986058
Stolpen,14.0830003,51.0492329
Oederan,13.1694372,50.8614612
Gräfenberg,11.2483425,49.6460001
Trebsen,12.7517578,51.2894732
Grosskugel,12.1448011,51.4174632
Ostritz,14.9327975,51.014934
Luckau,13.7150055,51.8524163
Ostrau,13.1667,51.2
Düben,12.3826234,51.9294661
Königsbruck,13.9028337,51.2637467
Elstra,14.1350305,51.220516
Wiehe,11.4119903,51.2663157
Altenburg,12.4340988,50.9852411
Treuenbrietzen,12.8734896,52.0966552
Rosenthal,7.8461623,50.8559386
Niesky,14.8229926,51.2930459
Görlitz,14.991018,51.1563185
Zwönitz,12.8131994,50.6301029
Penig,12.7075852,50.9331827
Limbach,6.8992759,49.4754392
Querfurt,11.5974443,51.3785275
Rosswein,13.1845301,51.0651211
Dohna,13.8587012,50.955232
Zella,9.251284877,50.8624787
Markneukirchen,12.3292151,50.311883
Moritzburg,13.6819406,51.1592018
Nebra,11.5787877,51.2873083
Grossenhain,13.5317153,51.2911845
Zittau,14.8064417,50.8959142
Karlsbad,8.5088293,48.9038411
Landsberg,10.8737728,48.0514973
Zöblitz,13.2361237137,50.65891335
Altenberg,13.7523234,50.766598
Heinersdorf,13.4370149,52.5728248
Friedrichroda,10.5634369,50.8608025
Knauthain,12.3144281,51.2733544
Oelsnitz,12.1837878222,50.4101492
Asch,9.5067654,48.5575829
Crimmitschau,12.3890204,50.8153837
Schandau,14.1534018,50.918091
Grünhain,12.8067339,50.5816885
Sayda,13.4193688,50.7124239
Flössberg,10.9188199,50.6707396
Markranstädt,12.2204644,51.3026177
Hartha,12.9715576,51.0984539
Siebenlehn,13.3071292,51.0307084
Eula,12.4793018,51.1506587
(Meerane),12.4662169,50.8499362
Eisleben,11.5465911,51.5283282
Lützen,12.1459521,51.2585623
Hohenturm,12.1002777175,51.5129494
Wittenberg,12.646761,51.8666527
Plauen,12.1346523,50.4950632
Hirschberg,11.8206555,50.4034295
(Borna),12.4999055,51.1241649
Taucha,12.4936336,51.3799905
Eisenach,10.3166999,50.9833
Schwarzburg,11.1956622,50.6420752
Weida,12.060661,50.7737881
Aussig,13.1899361,51.4048063
Annaberg,13.0016874,50.5805503
Geithain,12.6790508938,51.0651044
Neumark,11.2441904,51.079026
Klosterlausnitz,11.8611543014,50.9167332
Sitzenroda,12.9709339,51.4461808
Saalfeld,11.3616652,50.6481277
Buchheim,8.9852239,48.0099156
Frauenstein,13.5382248,50.8024134
Pausitz,13.2891986,51.2904861
Grünau,13.5805633,52.4154272
Herzberg,10.3428415,51.6565219
Ehrenfriedersdorf,12.9675018,50.6442951
Sebastiansberg,10.5336222,48.5103363
Adorf,12.2601559033,50.3259897
Teuchern,12.0223935,51.1185488
Blankenburg,10.9543435,51.7910474
Gottesgab,10.7525903,49.6661525
(Merseburg),11.996148,51.3564413
Hohenmölsen,12.0981844,51.1573976
Pomssen,12.6122075,51.2398283
Lübbenau,6.4724788,50.6628602
Riesa,13.308828,51.3038241
Lindenhain,9.387453,50.9064621
Lindenthal,6.9143995,50.9298969
Schladitz,12.357658,51.3644057
Dessau,12.2429261,51.8311104
Muskau,14.7014429564,51.5630016
Radeberg,13.9175257,51.1151413
Weißenfels,11.9667857,51.1999793
Elsterwerda,13.5195082,51.4619343
Ober-Wiesenthal,12.8582385,51.1868217
Magdeburg,11.6399609,52.1315889
Friedland,13.5487647,53.6716022
Camburg,11.7108341,51.0536711
Roda,13.4171146,51.3071335
Pirna,13.9386643,50.9616923
Keutschen,12.0791992,51.1407152
Lindhardt,12.5928686,51.2574009
Dommitzsch,12.8818456,51.6401155
Wurzen,12.7410574,51.3709574
Chemnitz,12.9252977,50.8322608
Nordhausen,10.7925317,51.5051574
Mücheln,11.8039044,51.3015933
Brehna,12.2125053,51.5573593
Teplitz,11.710826,53.9306628
Meerane,12.4662169,50.8499362
Oschatz,13.1082637,51.297984
Granschütz,12.0394309987,51.1773274
Stössen,11.9237845,51.1142361
Schirgiswalde,14.4198211986,51.0756187
Elsterberg,12.1679662,50.6082525
Rötha,12.417228,51.1972196
Pröttitz,12.4327518,51.4562503
Radeburg,13.7265005,51.2139822
Kelbra,11.0401125,51.4362095
Sebnitz,14.2727203,50.97098
Klösterle,9.7656813,47.8431403
Kyffhäuser,11.1100951643,51.3947987
Gr.-Böhla,13.3743214,51.2518648
Johanngeorgenstadt,12.7146849,50.4310567
Gr-Wiederitzsch,12.374251,51.3941234
Falkenhain,12.8713488,51.3975752
Glauchau,12.5397873,50.8199031
Modelwitz,12.4691078,50.9508893
Döbeln,13.1166999,51.1167001
Triptis,11.8633794,50.7353974
Geyer,12.9249831,50.623596
Wellaune,12.5565259792,51.5718097
Hof,11.9178807,50.3219015
Kleinneusslitz,13.0676057,51.3179323
Auerbach,12.4259083291,50.4933803
Jöhstadt,13.0900195,50.5142346
Wilsdruff,13.5362765,51.0524125
Inselsberg,10.4665051,50.8511626
Königstein,8.465271,50.1818833
Erfenschlag,12.9569513,50.7866162
Lössnitz,12.730753,50.6210947
Artern,11.2935249,51.3627798
Wildenfels,12.6069767,50.6637019
Dahlen,12.9984348,51.3660978
Naunhof,12.5881504,51.2783341
Grimma,12.7288353,51.2382184
Wolkenstein,13.0664608,50.6557148
(Altenburg),12.4340988,50.9852411
Meißen,13.4704939,51.1630871
Ilmenau,10.9142385,50.6867695
Eibenstock,12.5882588402,50.47258105
Zembschen,12.0931602,51.1429557
Lobenstein,11.6521670037,50.4424064
Ronneburg,12.1809073,50.8630523
Leipzig,12.3810549,51.3391827
Weissenfels,11.5416089,49.5438546
Thum,12.952226,50.6698953
Werdau,12.3763847,50.7361377
