Start, Über1, Über2, Über3, Über4, Über5, Über6, Über7, Über8, Ziel, Länge in km, Verlinkung zum Fahrtenbuch
Leipzig, Brandis,,,,,,,, Naunhof,51.7, http://digital.slub-dresden.de/werkansicht/dlf/16009/13/0/
Leipzig, Gross Dölzig,,,,,,,, Schkeuditz,31.4, http://digital.slub-dresden.de/werkansicht/dlf/16009/13/0/
Leipzig, Eutritzsch, Hohenossig, Pröttitz, Crostitz, Crensitz, Gollmenz, Lindenhain, Wellaune, Düben,33.9, http://digital.slub-dresden.de/werkansicht/?id=5363&tx_dlf%5Bid%5D=103042&tx_dlf%5Bpage%5D=28
Leipzig, Wahren,Lützschena,Hänichen,Modelwitz,Schkeuditz,Grosskugel,Gröbers,Bruckdorf,Halle,36.2,http://digital.slub-dresden.de/werkansicht/dlf/124441/15/0/ http://digital.slub-dresden.de/werkansicht/dlf/124441/16/0/
Leipzig, Eilenbourg, Torgau, Herzberg, Luckau, Lübbenau,,,, Spreewald, 142.2, http://digital.slub-dresden.de/werkansicht/?id=5363&tx_dlf%5Bid%5D=103042&tx_dlf%5Bpage%5D=33
Pretzsch, Dommitzsch, Torgau, Belgern, Mühlberg, Strehla, Riesa,,, Seerhausen, 71.8, http://digital.slub-dresden.de/werkansicht/dlf/103042/31/
Leipzig, Eilenburg, Wellaune, Prellheide,,,,,, Leipzig, 77.5, http://digital.slub-dresden.de/werkansicht/?id=5363&tx_dlf%5Bid%5D=103042&tx_dlf%5Bpage%5D=35
Eilenburg, Wurzen, Grimma,,,,,,, Bad Lausick, 45.4, http://digital.slub-dresden.de/werkansicht/dlf/103042/36/
Leipzig, Taucha, Borsdorf, Naunhof,,,,,, Lindhardt, 56.6, http://digital.slub-dresden.de/werkansicht/dlf/103042/37/
Leipzig, Wurzen, Schildau,,,,,,, Torgau, 59.3, http://digital.slub-dresden.de/werkansicht/dlf/103042/38/
Leipzig, Wurzen, Hohburger Schweiz, Eilenburg,,,,,, Leipzig, 75.7, http://digital.slub-dresden.de/werkansicht/dlf/103042/40/
Leipzig, Wurzen, Oschatz, Meißen,,,,,, Dresden, 112.0, http://digital.slub-dresden.de/werkansicht/dlf/103042/40/
Leipzig, Grimma, Leisnig, Colditz, Bad Lausick, Borna,,,, Leipzig, 115.4, http://digital.slub-dresden.de/werkansicht/dlf/103042/43/
Leipzig, Grimma, Wermsdorf, (Oschatz), Dahlen, Torgau, Eilenburg,,, Leipzig, 137.1, http://digital.slub-dresden.de/werkansicht/dlf/103042/46/
Wermsdorf, Mügeln, Ostrau, Lommatzsch,,,,,, Meißen, 49.5, http://digital.slub-dresden.de/werkansicht/dlf/103042/48/
Leisnig, Kreuz, Mittweida, Chemnitztal,,,,,, Chemnitz, 50.8, http://digital.slub-dresden.de/werkansicht/dlf/103042/49/?tx_dlf%5Bpointer%5D=2&cHash=8c315916f56ac20a4677477aba9eb9ef
Colditz, Kreuz, Waldheim, Hainichen, Oederan,,,,, Chemnitz, 70.3, http://digital.slub-dresden.de/werkansicht/dlf/103042/50/
Waldheim, Frankenberg, Zschopau, Wolkenstein,,,,,, Annaberg, 76.5, http://digital.slub-dresden.de/werkansicht/dlf/103042/51/
Grimma, Colditz, Rochlitz, Penig, Waldenburg, Glauchau,,,, Zwickau, 86.0, http://digital.slub-dresden.de/werkansicht/dlf/103042/54/
Leipzig, Borna, Geithain, Wechselburg, Chemnitztal,,,,, Chemnitz, 84.5, http://digital.slub-dresden.de/werkansicht/dlf/103042/56/
Leipzig, Borna, Frohburg, Penig,,,,,, Chemnitz, 78.0, http://digital.slub-dresden.de/werkansicht/dlf/103042/58/
Leipzig, Zwenkau, (Borna),,,,,,, Altenburg, 48.0, http://digital.slub-dresden.de/werkansicht/dlf/103042/60/
Leipzig, Groitzsch, Meuselwitz, Altenburg, Waldenburg, Stollberg, Zwönitz, Scheibenberg, Oberwiesenthal, Fichtelberg, 146.9, http://digital.slub-dresden.de/werkansicht/dlf/103042/62/
Groitzsch, Lucka, (Altenburg),,,,,,, Waldenburg, 46.0, http://digital.slub-dresden.de/werkansicht/dlf/103042/64/
Leipzig, Altenburg, Gößnitz, (Meerane), Zwickau, Schneeberg, Aue, Schwarzenberg, Scheibenberg, Annaberg, 135.3, http://digital.slub-dresden.de/werkansicht/dlf/103042/65/
Altenburg, Penig, Burgstädt, Frankenberg, Freiberg,,,,, Dresden, 112.1, http://digital.slub-dresden.de/werkansicht/dlf/103042/67/
Altenburg, Geithain, Rochlitz, Mittweida,,,,,, Hainichen, 60.0, http://digital.slub-dresden.de/werkansicht/dlf/103042/68/
Altenburg, Gößnitz, Crimmitschau, Werdau, Reichenbach,,,,, Plauen, 73.6, http://digital.slub-dresden.de/werkansicht/dlf/103042/70/
Altenburg, Schmölln, Ronneburg, Gera, Roda,,,,, Kahla, 76.7, http://digital.slub-dresden.de/werkansicht/dlf/103042/71/
Altenburg, Zeitz, Naumburg, Freyburg, Laucha, Nebra, Wiehe, Artern, Kyffhäuser, Kelbra, 141.9, http://digital.slub-dresden.de/werkansicht/dlf/103042/72/
Zwenkau, Markranstädt,,,,,,,, Schkeuditz, 24.9, http://digital.slub-dresden.de/werkansicht/dlf/103042/74/
Leipzig, Pegau, Zeitz, Gera, Weida, Greiz,,,, Plauen, 129.7, http://digital.slub-dresden.de/werkansicht/dlf/103042/75/
Zeitz, Droyssig, Eisenberg, Klosterlausnitz (Mühltal), Crossen,,,,, Zeitz, 60.0, http://digital.slub-dresden.de/werkansicht/dlf/103042/78/
Gera, Milbitz, Hermsdorf,,,,,,, Camburg, 42.7, http://digital.slub-dresden.de/werkansicht/dlf/103042/82/
Leipzig, Jena, Weimar, Apolda,,,,,, Kösen, 155.8, http://digital.slub-dresden.de/werkansicht/dlf/103042/83/
Leipzig, Naumburg, Rudelsburg, Jena, Rudolstadt, Saalfeld, Lobenstein, (Schleiz),, Hof, 216.0, http://digital.slub-dresden.de/werkansicht/dlf/103042/85/
Leipzig, Lützen, Weißenfels,,,,,,, Naumburg, 51.6, http://digital.slub-dresden.de/werkansicht/dlf/103042/89/
Leipzig, Dürrenberg, (Weißenfels), (Merseburg),,,,,, Leipzig, 63.9, http://digital.slub-dresden.de/werkansicht/dlf/103042/91/
Weißenfels, Mücheln, Freyburg,,,,,,, Naumburg, 51.2, http://digital.slub-dresden.de/werkansicht/dlf/103042/92/
Weißenfels, Hohenmölsen,,,,,,,, Pegau, 23.8, http://digital.slub-dresden.de/werkansicht/dlf/103042/93/
Leipzig, Corbetha, Roßbacher Schlachtfelder,,,,, Freyburg, 51.3, http://digital.slub-dresden.de/werkansicht/dlf/103042/94/
Leipzig, Merseburg,,,,,,,, Kyffhäuser, 102.0, http://digital.slub-dresden.de/werkansicht/dlf/103042/95/
Leipzig, Halle,,,,,,,, Nordhausen, 123.0, http://digital.slub-dresden.de/werkansicht/dlf/103042/97/?tx_dlf%5Bpointer%5D=4&cHash=52ab9fb75c55a0e7ff672ab7ca661fea
Leipzig, Halle,,,,,,,, Magdeburg, 117.8, http://digital.slub-dresden.de/werkansicht/dlf/103042/99/
Leipzig, Landsberg, Zörbig,,,,,,, Köthen, 58.5, http://digital.slub-dresden.de/werkansicht/dlf/103042/102/
Leipzig, Dessau, Wörlitz, Gräfenhainichen,,,,,, Leipzig, 113.6, http://digital.slub-dresden.de/werkansicht/dlf/103042/102/
Leipzig, Delitzsch, Bitterfeld, Wittenberg,,,,,, Berlin, 170.7, http://digital.slub-dresden.de/werkansicht/dlf/103042/104/
Dresden, Pillnitz, Schandau, Tetschen, Pirna,,,,, Dresden, 168.4, http://digital.slub-dresden.de/werkansicht/dlf/103042/106/
Dresden, Bischofswerda, Bautzen, Görlitz, Hirschberg,,,,, Riesengebirge, 166.7, http://digital.slub-dresden.de/werkansicht/dlf/103042/111/
Dresden, Dohna, Glashütte, Altenberg, Marienberg, Wolkenstein,,,, Annaberg, 137.4, http://digital.slub-dresden.de/werkansicht/dlf/103042/116/
Eisenach, Ruhla, Inselsberg, Friedrichroda, Zella, Schmiedefeld, Ilmenau, Schwarzburg, Blankenburg, Rudolstadt, 224.6, http://digital.slub-dresden.de/werkansicht/dlf/103042/119/
